Date,Bitly,Source,Tags,Clicks
2022-05-16,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,2.0
2022-05-17,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1.0
2022-05-18,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1.0
2022-05-16,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,4.0
2022-05-16,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,2.0
2022-05-17,bit.ly/togetherDMV,direct,DV Target Markets,2.0
2022-05-17,bit.ly/togetherDMV,https://nphchq.com/millennium1/,DV Target Markets,1.0
2022-05-17,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1.0
2022-05-18,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3.0
2022-05-17,bit.ly/togetherATL,https://www.google.com/,,1.0
2022-05-16,bit.ly/togetherDEN,http://partners.bit.ly/qr,DV Target Markets,3.0
2022-05-17,bit.ly/togetherDEN,http://partners.bit.ly/qr,DV Target Markets,1.0
2022-05-18,bit.ly/togetherDEN,http://partners.bit.ly/qr,DV Target Markets,4.0
2022-05-16,bit.ly/togetherNOLA,direct,LRC,2.0
2022-05-17,bit.ly/togetherNOLA,https://t.co/,LRC,10.0
2022-05-18,bit.ly/togetherNOLA,direct,LRC,1.0
2022-05-16,bit.ly/LGBTDetroit_PMT,https://l.facebook.com/,Detroit_PMT,1.0
2022-05-16,bit.ly/LGBTDetroit_PMT,http://m.facebook.com,Detroit_PMT,1.0
2022-05-16,bit.ly/LA-GoldenChange-es,http://partners.bit.ly/qr,LA_PMT,2.0
2022-05-18,bit.ly/LA-GoldenChange-es,http://partners.bit.ly/qr,LA_PMT,1.0
